年度,排名,書名,作者,出版社,借閱次數
108,1,解憂雜貨店,東野圭吾著 ; 王蘊潔譯,"皇冠,",652
108,2,第十年的情人節 ,東野圭吾著 ; 王蘊潔譯,春天出版國際出版 ;,438
108,3,沒有凶手的殺人夜 ,東野圭吾作 ; 李彥樺譯,獨步文化出版 :,437
108,4,戀愛纜車 ,東野圭吾著 ; 王蘊潔譯,"皇冠文化,",437
108,5,三國演義 ,羅貫中原著 ; 陳維東編劇 ; 梁小龍繪.,"閣林國際圖書,",427
108,6,怪人們 ,東野圭吾著 ; 李彥樺譯,獨步文化出版 :,418
108,7,雪煙追逐 ,東野圭吾著 ; 王蘊潔譯,"皇冠文化,",403
108,8,黃阿瑪的後宮生活 :阿瑪建國史 ,志銘與狸貓著,"世茂,",389
108,9,一個人到處瘋慶典 :高木直子日本祭典萬萬歲 ,高木直子圖文 ; 陳怡君譯,"大田,",388
108,10,幻夜 ,東野圭吾作 ; 劉姿君譯,獨步文化出版 :,388
108,11,一個人邊跑邊吃 :高木直子呷飽飽馬拉松之旅 ,高木直子著 ; 洪俞君譯,"大田,",387
108,12,禁忌的魔術 ,東野圭吾著 ; 王蘊潔譯,"皇冠文化,",386
108,13,已經不是一個人 :高木直子40脫單故事 ,高木直子圖文 ; 洪俞君譯,大田出版 :,378
108,14,一個人的狗回憶 :高木直子到處尋犬記 ,高木直子著 ; 洪俞君譯,大田出版 :,377
108,15,人魚沉睡的家 ,東野圭吾著 ; 王蘊潔譯,"皇冠,",374
108,16,一個人住第幾年? ,高木直子圖文 ; 洪俞君譯,"大田,",373
108,17,怪奇孤兒院 ,蘭森.瑞格斯(Ransom Riggs)著 ; 伍立人譯,高寶國際出版 :,370
108,18,"一個人好想吃 :高木直子念念不忘,吃飽萬歲! ",高木直子圖文 ; 洪俞君譯,"大田,",350
108,19,一個人搞東搞西 :高木直子閒不下來手作書 ,高木直子圖文 ; 洪俞君譯,"大田,",348
108,20,虛像的丑角 ,東野圭吾著 ; 王蘊潔譯,"皇冠文化,",341
109,1,被討厭的勇氣 :自我啟發之父「阿德勒」的教導 /,"岸見一郎, 古賀史健著 ; 葉小燕譯",究竟出版 :,742
109,2,"富爸爸,窮爸爸 /","羅勃特.T., 莎朗.L.萊希特合著; 楊軍,楊明合譯 ; 楊軍, 楊明譯.","高寶國際,",515
109,3,"情緒勒索 :那些在伴侶.親子.職場間, 最讓人窒息的相處 /",周慕姿作,寶瓶文化出版 :,512
109,4,你的孩子不是你的孩子 :被考試綁架的家庭故事 : 一位家教老師的見證 /,吳曉樂著,網路與書出版 :,489
109,5,被討厭的勇氣 :人生幸福的行動指南.二部曲 /,"岸見一郎, 古賀史健著 ; 葉小燕譯",究竟出版 :,481
109,6,蔡康永的說話之道.2 /,蔡康永著 ; 彎彎圖,如何出版 :,465
109,7,蔡康永的情商課 :為你自己活一次 /,蔡康永著,如何出版 :,452
109,8,"你的善良必須有點鋒芒 :36則讓你有態度、不委曲, 深諳世故卻不世故的世道智慧 /",慕顏歌著,"采實,",447
109,9,"為什麼我們這樣生活,那樣工作? :全球瘋行的習慣改造指南 /","查爾斯.杜希格(Charles Duhigg)著 ; 鍾玉玨, 許恬寧譯",大塊文化出版 ;,441
109,10,21世紀的21堂課 /,哈拉瑞(Yuval Noah Harari)作 ; 林俊宏譯,遠見天下文化出版 ;,433
109,11,有錢人想的和你不一樣 /,哈福.艾克(T. Harv Eker)著 ; 陳佳伶譯,大塊文化出版 ;,433
109,12,斷捨離 :斷絕不需要的東西/捨棄多餘的廢物/脫離對物品的執著 /,山下英子著 ; 羊恩媺譯,"平安文化,",426
109,13,怦然心動的人生整理魔法 /,近藤麻理惠著 ; 陳光棻譯,方智出版 :,423
109,14,史丹佛家庭醫學百科全書 /,史丹佛家庭醫學百科全書編輯委員會.,,422
109,15,"斜槓青年 :全球職涯新趨勢, 迎接更有價值的多職人生 = Slash /",Susan Kuang著,圓神出版 :,419
109,16,如果生物課都這麼ㄎㄧㄤ(鏘)! /,10秒鐘教室(Yan)圖.文,野人文化出版 :,411
109,17,做工的人 /,林立青著 ; 賴小路攝影,寶瓶文化出版 ;,402
109,18,"第三人生任逍遙 :50之後,比理財更重要的事! /",施昇輝作,有鹿文化出版 :,399
109,19,"愛上氣炸鍋100天 :少油.酥脆.美味! : 椒麻雞.蜜汁叉燒.紙包魚.戚風蛋糕,天天開炸也不膩的100道美味氣炸鍋料理 /",人愛柴作,"采實文化,",399
109,20,我輩中人 :寫給中年人的情書 /,張曼娟作,遠見天下文化出版 :,387
